License Number,Facility Name,Street Address,City,Parish,Facility Phone Number,License Capacity,License Type,License Status,Age Range,Operation Days,Director,Director Designee
806,Jewish Community Center Nursery School,5342 Saint Charles Ave,New Orleans,ORLEANS,5048970143,262,Type III ,Open,13 M To 7 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:00,Rebecca Kitchens,
814,Alpha Montessori School,301 Canal St,Metairie,JEFFERSON,5048332808,67,Type I ,Open,12 M To 5 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Victoria Miller,
825,John Calvin Presbyterian Playschool,4201 Transcontinental Dr,Metairie,JEFFERSON,5048881378,166,Type I ,Open,12 M To 9 Y,Monday From: 08:00 To: 15:00 / Tuesday From: 08:00 To: 15:00 / Wednesday From: 08:00 To: 15:00 / Thursday From: 08:00 To: 15:00 / Friday From: 08:00 To: 15:00,Lauren Crisler,
844,Cub Corner Preschool,420 Allen Toussaint Blvd,New Orleans,ORLEANS,5042868673,120,Type I ,Open,6 W To 3 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 17:30 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30,Elizabeth Coe,
850,The Little School- St. Martin Episcopal,2216 Metairie Rd,Metairie,JEFFERSON,5048359964,92,Type I ,Open,2 Y To 5 Y,Monday From: 08:30 To: 15:00 / Tuesday From: 08:30 To: 15:00 / Wednesday From: 08:30 To: 15:00 / Thursday From: 08:30 To: 15:00 / Friday From: 08:30 To: 15:00,Lauren Noto Pays; Renee Hemel,
853,Little Red Schoolhouse of Metairie,2055 Metairie Rd,Metairie,JEFFERSON,5048387979,319,Type I ,Open,6 W To 5 Y,Monday From: 07:30 To: 18:00 / Tuesday From: 07:30 To: 18:00 / Wednesday From: 07:30 To: 18:00 / Thursday From: 07:30 To: 18:00 / Friday From: 07:30 To: 18:00,Debra Schweter,
860,NSU Child Development Center,1 Caldwell Drive,Natchitoches,NATCHITOCHES,3183576860,50,Type III ,Open,2 Y To 5 Y,Monday From: 07:15 To: 17:30 / Tuesday From: 07:15 To: 17:30 / Wednesday From: 07:15 To: 17:30 / Thursday From: 07:15 To: 17:30 / Friday From: 07:15 To: 17:30,Faith Stanfield,Joni Prewitt
863,Cypress Baptist Child Development Center,4701 Palmetto Rd,Benton,BOSSIER,3189659413,119,Type I ,Open,6 W To 12 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Holli McHan,Samantha Buckles
869,Ascension Head Start Site #1,603 Lee Ave,Donaldsonville,ASCENSION,2253917351,194,Type III ,Open,34 M To 56 M,Monday From: 08:00 To: 15:30 / Tuesday From: 08:00 To: 15:30 / Wednesday From: 08:00 To: 15:30 / Thursday From: 08:00 To: 15:30 / Friday From: 08:00 To: 15:30,Hope Gautreau,Stacy Haupt
880,St. Augustine's Episcopal School Church dba St. Augustine's Episcopal School,3412 Haring Rd,Metairie,JEFFERSON,5048874801,99,Type I ,Open,2 Y To 5 Y,Monday From: 07:30 To: 16:00 / Tuesday From: 07:30 To: 16:00 / Wednesday From: 07:30 To: 16:00 / Thursday From: 07:30 To: 16:00 / Friday From: 07:30 To: 16:00,Joline LaCoste,
896,Belle Chasse Baptist Kindergarten,8828 Highway 23,Belle Chasse,PLAQUEMINES,5043926254,69,Type I ,Open,23 M To 5 Y,Monday From: 08:10 To: 14:25 / Tuesday From: 08:10 To: 14:25 / Wednesday From: 08:10 To: 14:25 / Thursday From: 08:10 To: 14:25 / Friday From: 08:10 To: 14:25,Lauren Dabadie,
927,Children's Book of Knowledge,150 First Street,Saint Rose,ST. CHARLES,5044679661,61,Type III ,Open,6 M To 17 Y,Monday From: 07:00 To: 16:30 / Tuesday From: 07:00 To: 16:30 / Wednesday From: 07:00 To: 16:30 / Thursday From: 07:00 To: 16:30 / Friday From: 07:00 To: 16:30,Ethel Marbley,
933,"Nursery Rhyme, Inc.",3590 Jones Creek Rd,Baton Rouge,EAST BATON ROUGE,2257520309,68,Type III ,Open,1 Y To 13 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,JUDITH WIGGINS; LAURA THOMPSON,
936,Newcomb Children's Center of Tulane University,1305 Broadway St,New Orleans,ORLEANS,5048655326,138,Type III ,Open,11 M To 5 Y,Monday From: 08:00 To: 17:30 / Tuesday From: 08:00 To: 17:30 / Wednesday From: 08:00 To: 17:30 / Thursday From: 08:00 To: 17:30 / Friday From: 08:00 To: 17:30,Julie  Smith Price,
947,Broadmoor Presbyterian Early Childhood Center,9340 Florida Blvd,Baton Rouge,EAST BATON ROUGE,2259263421,278,Type I ,Open,6 M To 6 Y,Monday From: 08:00 To: 15:00 / Tuesday From: 08:00 To: 15:00 / Wednesday From: 08:00 To: 15:00 / Thursday From: 08:00 To: 15:00 / Friday From: 08:00 To: 15:00,Monique Naquin,
953,Tiny Tot Day Care,609 Transcontinental Dr,Metairie,JEFFERSON,5048888852,54,Type II ,Open,12 M To 5 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,lisa fruchtnicht,Gertrude Gauthier
987,St Luke Simpson Childcare Center,1500 Country Club Rd Bldg B,Lake Charles,CALCASIEU,3374740728,172,Type I ,Open,6 W To 5 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Leann Hebert,
994,Arden Cahill Academy,3101 Wall Blvd,Gretna,JEFFERSON,5043920902,232,Type I ,Open,6 W To 4 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Jeni Mithun,Tammy Tapia
1015,Louise Hayem Manheim Gates Preschool,4000 W Esplanade Ave S,Metairie,JEFFERSON,5048852600,152,Type III ,Open,3 M To 5 Y,Monday From: 07:30 To: 18:00 / Tuesday From: 07:30 To: 18:00 / Wednesday From: 07:30 To: 18:00 / Thursday From: 07:30 To: 18:00 / Friday From: 07:30 To: 18:00,Jessica Sintes,
1022,St. Joan of Arc Preschool,412 Fir St,La Place,ST. JOHN,9856526310,17,Type I ,Open,1 Y To 3 Y,Monday From: 07:45 To: 15:00 / Tuesday From: 07:45 To: 15:00 / Wednesday From: 07:45 To: 15:00 / Thursday From: 07:45 To: 15:00 / Friday From: 07:45 To: 15:00,Michelle Laurent,
1023,First Methodist Early Learning Center,1411 Glenwood Dr,West Monroe,OUACHITA,3183619059,87,Type I ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Lisa Flores,
1025,Clover,1600 Constance St,New Orleans,ORLEANS,5045236221,642,Type III ,Open,6 W To 5 Y,Monday From: 06:45 To: 17:00 / Tuesday From: 06:45 To: 17:00 / Wednesday From: 06:45 To: 17:00 / Thursday From: 06:45 To: 17:00 / Friday From: 06:45 To: 17:00,Shavonne Hampton,Sharlene Adams; Kiandre Nichols
1097,East St. Tammany Rainbow Child Care Center,121 Kingspoint Blvd,Slidell,ST. TAMMANY,9856460718,92,Type III ,Open,12 M To 5 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Sonya Johnson,Urekia Faciane
1102,"St. Martin Sunshine Playschool, Inc.",113 Resweber St,St Martinvlle,ST. MARTIN,3373949615,77,Type III ,Open,6 W To 12 Y,Monday From: 06:00 To: 17:00 / Tuesday From: 06:00 To: 17:00 / Wednesday From: 06:00 To: 17:00 / Thursday From: 06:00 To: 17:00 / Friday From: 06:00 To: 17:00,Leanner Hypolite,Precious Stewart; Kasandra Lewis
1122,Union Head Start Center,211 Willow Street,Bernice,UNION,3182857180,40,Type III ,Open,3 Y To 5 Y,Monday From: 08:00 To: 15:00 / Tuesday From: 08:00 To: 15:00 / Wednesday From: 08:00 To: 15:00 / Thursday From: 08:00 To: 15:00 / Friday From: 08:00 To: 15:00,Pamela Harris,Martha Dean
1135,Elisabetta Renzi Child Development Center,760 Overton Brooks Rd,Shreveport,CADDO,3187973610,125,Type I ,Open,1 Y To 6 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Rachel Simar,LaRisha Brossie
1175,Jen's Infant and Toddler Center,525 E North St,Opelousas,ST. LANDRY,3379423436,39,Type III ,Open,6 W To 12 Y,Monday From: 06:45 To: 17:30 / Tuesday From: 06:45 To: 17:30 / Wednesday From: 06:45 To: 17:30 / Thursday From: 06:45 To: 17:30 / Friday From: 06:45 To: 17:30,Jeanette Collins,Kaquawana   Hall
1180,St. Mary Parish-Peter Pan Head Start Center,1407 Barrow St,Franklin,ST. MARY,3378283893,106,Type III ,Open,2 Y To 5 Y,Monday From: 07:30 To: 15:30 / Tuesday From: 07:30 To: 15:30 / Wednesday From: 07:30 To: 15:30 / Thursday From: 07:30 To: 15:30 / Friday From: 07:30 To: 15:30,Paula Robinson,
1193,MCIO Head Start Program Oak Grove,410 Combs Street,Oak Grove,WEST CARROLL,3184284790,51,Type III ,Open,3 Y To 5 Y,Monday From: 07:00 To: 16:30 / Tuesday From: 07:00 To: 16:30 / Wednesday From: 07:00 To: 16:30 / Thursday From: 07:00 To: 16:30 / Friday From: 07:00 To: 16:30,Ethel Robinson,Kenisha Threats; Ora Jones
1197,Delta Community Action Tallulah HS,609 N Cedar St,Tallulah,MADISON,3185745529,120,Type III ,Open,3 W To 5 Y,Monday From: 07:30 To: 15:30 / Tuesday From: 07:30 To: 15:30 / Wednesday From: 07:30 To: 15:30 / Thursday From: 07:30 To: 15:30 / Friday From: 07:30 To: 15:30,Martha Thomas; Martha Thomas,Sandra  Guice; Sandra McCoy
1207,Pine Belt Multi-Purpose Agency Head Start - Bienville Parish Head Start,1556 South Main Street,Gibsland,BIENVILLE,3188436017,86,Type III ,Open,3 Y To 5 Y,Monday From: 08:00 To: 15:00 / Tuesday From: 08:00 To: 15:00 / Wednesday From: 08:00 To: 15:00 / Thursday From: 08:00 To: 15:00 / Friday From: 08:00 To: 15:00,Doris Wilson,
1215,Covenant Preschool Ministries,300 E Martial Ave,Lafayette,LAFAYETTE,3379883962,153,Type I ,Open,6 M To 6 Y,Monday From: 07:30 To: 16:30 / Tuesday From: 07:30 To: 16:30 / Wednesday From: 07:30 To: 16:30 / Thursday From: 07:30 To: 16:30 / Friday From: 07:30 To: 16:30,Tabitha  Dronet,Megan Hunter
1279,Goldman School Child Development Center,351 Jordan St,Shreveport,CADDO,3182218392,100,Type III ,Open,2 M To 6 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,LaShanda Davis,Romonda Adams
1283,Stay-N-Play Daycare and Preschool,29530 South Poplar Street,Livingston,LIVINGSTON,2256861878,62,Type I ,Open,6 W To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Amanda Jones,
1296,Bogalusa Head Start & Early Head Start,1202 Erie Ave,Bogalusa,WASHINGTON,9857355668,164,Type III ,Open,6 W To 6 Y,Monday From: 07:00 To: 15:30 / Tuesday From: 07:00 To: 15:30 / Wednesday From: 07:00 To: 15:30 / Thursday From: 07:00 To: 15:30 / Friday From: 07:00 To: 15:30,Tonya Brumfield,Buffie Anglin; Latoya Green
1297,Goldilocks Child Care Center,2324 Manson Avenue,Metairie,JEFFERSON,5044540359,38,Type III ,Open,6 W To 13 Y,Monday From: 07:30 To: 17:30 / Tuesday From: 07:30 To: 17:30 / Wednesday From: 07:30 To: 18:53 / Thursday From: 07:30 To: 17:30 / Friday From: 07:30 To: 17:30,Jill Dendinger,
1308,Webster Parish Mother Goose Land Head Start / Early Head Start Center,618 Weston St,Minden,WEBSTER,3183711101,154,Type III ,Open,18 M To 5 Y,Monday From: 08:00 To: 14:30 / Tuesday From: 08:00 To: 14:30 / Wednesday From: 08:00 To: 14:30 / Thursday From: 08:00 To: 14:30 / Friday From: 08:00 To: 14:30,Alice Theus,
1327,Discovery House,3928 Independence Drive,Alexandria,RAPIDES,3184480485,134,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Cheryl Boutte; Carol Norris,Amanda Parker
1351,Cornerstone Learning Center,260 Windermere Blvd,Alexandria,RAPIDES,3184739155,107,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Angel Thomasee; Beth Fee,
1355,Pine Belt Multi-Purpose - Union Bee Head Start,3039 East Sixth Street,Hodge,JACKSON,3182597061,127,Type III ,Open,3 Y To 5 Y,Monday From: 07:30 To: 15:15 / Tuesday From: 07:30 To: 15:15 / Wednesday From: 07:30 To: 15:15 / Thursday From: 07:30 To: 15:15 / Friday From: 07:30 To: 15:15,Erika Hill,
1359,"Mini Scholars Childcare Center, Inc",178 Biedenharn Dr,West Monroe,OUACHITA,3183960699,203,Type III ,Open,1 Y To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Tina Shepherd; Tina Shepherd,
1387,Sandy's Playhouse,111 Moonraker Dr,Slidell,ST. TAMMANY,9857881392,18,Type I ,Open,6 W To 12 Y,Monday From: 06:00 To: 18:00 / Tuesday From: 06:00 To: 18:00 / Wednesday From: 06:00 To: 18:00 / Thursday From: 06:00 To: 18:00 / Friday From: 06:00 To: 18:00,Sandy Key,
1394,Chandler's Daycare,1916 Havard St,Winnsboro,FRANKLIN,3184355543,24,Type III ,Open,4 W To 13 Y,Monday From: 06:30 To: 17:00 / Tuesday From: 06:30 To: 17:00 / Wednesday From: 06:30 To: 17:00 / Thursday From: 06:30 To: 17:00 / Friday From: 06:30 To: 17:00,Inez  Chandler,
1418,Frances Daycare,8515 Highway 84,Mansfield,DE SOTO,3188723084,51,Type II ,Open,6 W To 10 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Frances Shaw,Monica Holloway
1425,Ecole Classique,5236 Glendale St,Metairie,JEFFERSON,5048879478,28,Type I ,Open,2 Y To 3 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Gina Ney,
1449,A Total Learning Center,20440 Highland Rd Ste C,Baton Rouge,EAST BATON ROUGE,2257530491,92,Type III ,Open,6 W To 5 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Renee Knighten; Renee Knighten,
1485,Delta Community Action Mangham HS,421 Hixon St,Mangham,RICHLAND,3182483237,20,Type III ,Open,3 W To 5 Y,Monday From: 07:30 To: 15:30 / Tuesday From: 07:30 To: 15:30 / Wednesday From: 07:30 To: 15:30 / Thursday From: 07:30 To: 15:30 / Friday From: 07:30 To: 15:30,Martha Thomas,Dorothy Grant; Norma Hill
1516,Regina Coeli Child Development Center-Lacombe Mandeville Head Start,60336 S 24th St,Lacombe,ST. TAMMANY,9858825610,129,Type III ,Open,3 Y To 5 Y,Monday From: 07:00 To: 17:00 / Tuesday From: 07:00 To: 17:00 / Wednesday From: 07:00 To: 17:00 / Thursday From: 07:00 To: 17:00 / Friday From: 07:00 To: 17:00,Lisa Sandifer,Lori Hoppe
1518,Froggie's Child Care Inc.,606 Good News Ave,Belle Chasse,PLAQUEMINES,5043910050,68,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Dana Newsom,
1524,"Linda's Early Childhood Development and Preschool, Inc.",319 Amelia St,Destrehan,ST. CHARLES,9857646805,38,Type I ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Linda White,
1540,First Methodist School,812 Kirkman St,Lake Charles,CALCASIEU,3374334570,174,Type III ,Open,6 W To 6 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,Diane Brown,Hester Andrea Prejean
1549,Caddo Community Action Agency-Hersey D. Wilson Head Start,4055 Saint Vincent Ave,Shreveport,CADDO,3188686360,122,Type III ,Open,3 Y To 5 Y,Monday From: 07:30 To: 16:00 / Tuesday From: 07:30 To: 16:00 / Wednesday From: 07:30 To: 16:00 / Thursday From: 07:30 To: 16:00 / Friday From: 07:30 To: 16:00,Monica Owens-Davis,
1566,Apple Tree Preschool,360 Robert Blvd,Slidell,ST. TAMMANY,9856410184,159,Type I ,Open,18 M To 5 Y,Monday From: 07:00 To: 18:00 / Tuesday From: 07:00 To: 18:00 / Wednesday From: 07:00 To: 18:00 / Thursday From: 07:00 To: 18:00 / Friday From: 07:00 To: 18:00,Ashlea May,Jennifer Wear
1584,Assumption Parish Labadieville Head Start,3045 Highway 1,Labadieville,ASSUMPTION,9855268100,20,Type III ,Open,2 Y To 5 Y,Monday From: 06:45 To: 15:15 / Tuesday From: 06:45 To: 15:15 / Wednesday From: 06:45 To: 15:15 / Thursday From: 06:45 To: 15:15 / Friday From: 06:45 To: 15:15,Rachel Dugas,Anthanette Thomas
1585,Assumption Parish Napoleonville Head Start,185 Highway 1008,Napoleonville,ASSUMPTION,9853698539,34,Type III ,Open,2 Y To 5 Y,Monday From: 06:30 To: 16:00 / Tuesday From: 06:30 To: 16:00 / Wednesday From: 06:30 To: 16:00 / Thursday From: 06:30 To: 16:00 / Friday From: 06:30 To: 16:00,Rachel Dugas,Kimberly Verner
1589,Assumption Parish Belle Rose Head Start,7100 Highway 308,Belle Rose,ASSUMPTION,2254738015,34,Type III ,Open,2 Y To 5 Y,Monday From: 07:45 To: 16:15 / Tuesday From: 07:45 To: 16:15 / Wednesday From: 07:45 To: 16:15 / Thursday From: 07:45 To: 16:15 / Friday From: 07:45 To: 16:15,Rachel Dugas,Leslie Daggs
1634,Noel Methodist Children's Center,520 Herndon St,Shreveport,CADDO,3182227732,145,Type III ,Open,6 W To 12 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,Brandy Delton,Dominiqua Ashley
1643,Delta Community Action Association Inc.,212 Cuthbert St,Delhi,RICHLAND,3188783258,93,Type III ,Open,3 W To 5 Y,Monday From: 07:30 To: 15:30 / Tuesday From: 07:30 To: 15:30 / Wednesday From: 07:30 To: 15:30 / Thursday From: 07:30 To: 15:30 / Friday From: 07:30 To: 15:30,Martha  Thomas,Melvina Williams; Shonda McClure
1657,Regina Coeli Child Development Center-Covington Head Start & Early Head Start,73060 E Stadium Dr,Covington,ST. TAMMANY,9858928638,200,Type III ,Open,6 W To 6 Y,Monday From: 07:00 To: 15:30 / Tuesday From: 07:00 To: 15:30 / Wednesday From: 07:00 To: 15:30 / Thursday From: 07:00 To: 15:30 / Friday From: 07:00 To: 15:30,Sonja Watson,Marcela Bowers
1682,Lafourche Parish Government Marydale Joseph B Jones Head Start,102 Park Ave,Thibodaux,LAFOURCHE,9854481050,42,Type III ,Open,3 Y To 5 Y,Monday From: 08:00 To: 16:00 / Tuesday From: 08:00 To: 16:00 / Wednesday From: 08:00 To: 16:00 / Thursday From: 08:00 To: 16:00 / Friday From: 08:00 To: 16:00,JEANNETTE CHAMPAGNE,Jasmine Winston; Celease Coxen
1689,"The Children's Chalet, Inc.",1991 N Causeway Blvd,Mandeville,ST. TAMMANY,9856248668,100,Type II ,Open,6 W To 5 Y,Monday From: 06:30 To: 17:30 / Tuesday From: 06:30 To: 17:30 / Wednesday From: 06:30 To: 17:30 / Thursday From: 06:30 To: 17:30 / Friday From: 06:30 To: 17:30,tracy delatte,kimberly jones
1713,"Appletree Academy, Inc.",72125 Military Rd,Covington,ST. TAMMANY,9858933112,100,Type III ,Open,6 W To 16 Y,Monday From: 06:30 To: 18:00 / Tuesday From: 06:30 To: 18:00 / Wednesday From: 06:30 To: 18:00 / Thursday From: 06:30 To: 18:00 / Friday From: 06:30 To: 18:00,Lisa McCollum,Jane Williams
1750,New Living Word Ministries Child Care Center,1900 W Barnett Springs Ave,Ruston,LINCOLN,3182550270,108,Type III ,Open,6 W To 12 Y,Monday From: 07:00 To: 17:30 / Tuesday From: 07:00 To: 17:30 / Wednesday From: 07:00 To: 17:30 / Thursday From: 07:00 To: 17:30 / Friday From: 07:00 To: 17:30,STEPHANIE ANGLEN,
1766,Regina Coeli Child Development Center-St. Helena Head Start and Early Head Start,77 Greensburg Street,Greensburg,ST. HELENA,2252224500,120,Type III ,Open,6 W To 5 Y,Monday From: 07:00 To: 15:00 / Tuesday From: 07:00 To: 15:00 / Wednesday From: 07:00 To: 15:00 / Thursday From: 07:00 To: 15:00 / Friday From: 07:00 To: 15:00,LaKeiah  Brown,Izola Kendrick; Taiwana Smith
1799,Concordia Head Start-Clayton Site,31539 Highway 15,Clayton,CONCORDIA,3187574586,155,Type III ,Open,6 W To 5 Y,Monday From: 07:45 To: 17:00 / Tuesday From: 07:45 To: 17:00 / Wednesday From: 07:45 To: 17:00 / Thursday From: 07:45 To: 17:00 / Friday From: 07:45 To: 17:00,Alisha Green,LaPeteria Watson
1804,Children's College,967 Carnation St,Slidell,ST. TAMMANY,9856497618,36,Type III ,Open,6 W To 6 Y,Monday From: 07:00 To: 15:00 / Tuesday From: 07:00 To: 15:00 / Wednesday From: 07:00 To: 15:00 / Thursday From: 07:00 To: 15:00 / Friday From: 07:00 To: 15:00,Nargis Akhtar,
1827,Webster Parish Humpty Dumpty Head Start/Early Head Start Center,479 Bellevue Rd.,Cotton Valley,WEBSTER,3188324730,94,Type III ,Open,18 M To 5 Y,Monday From: 08:00 To: 14:30 / Tuesday From: 08:00 To: 14:30 / Wednesday From: 08:00 To: 14:30 / Thursday From: 08:00 To: 14:30 / Friday From: 08:00 To: 14:30,Robinette Thomas,
1828,St. Mary Parish-Yogi Bear Head Start Center,318 Wren St,Morgan City,,9853848439,14,Type III ,Open,2 Y To 5 Y,Monday From: 07:45 To: 14:45 / Tuesday From: 07:45 To: 14:45 / Wednesday From: 07:45 To: 14:45 / Thursday From: 07:45 To: 14:45 / Friday From: 07:45 To: 14:45,Cynthia  Prince,Kristie  Sistrunk
1876,Plaquemines Parish- Belle Chasse Primary School Head Start,539 F Edward Hebert Blvd,Belle Chasse,PLAQUEMINES,5045956430,74,Type III ,Open,2 Y To 5 Y,Monday From: 08:15 To: 14:45 / Tuesday From: 08:15 To: 14:45 / Wednesday From: 08:15 To: 14:45 / Thursday From: 08:15 To: 14:45 / Friday From: 08:15 To: 14:45,Patricia Haydel,Kaitlin Vidrine
