Type,License #,Name,Address,City,Zip,Phone,Email,Ages Served,Total Capacity,Capacity Under 3,Expiration Date,Legal Operator (LO),Address (LO),City (LO),Zip (LO)
Child Care Center,DCCC.12590,WHITING LANE EXTENDED DAY CARE- FARMINGTON AVENUE,759 FARMINGTON AVE,WEST HARTFORD,06119-1613,860-233-8462,WhitingLaneExtendedDayCare@gmail.com,5 years-12 years,61,0,4/30/29,WHITING LANE EXTENDED DAY CARE INC,759 FARMINGTON AVE PO BOX DC,WEST HARTFORD,06119
Child Care Center,DCCC.12593,ESSEX PRE-SCHOOL,6 METHODIST HL,ESSEX,06426-1153,860-767-2442,essexpreschool@gmail.com,3 years-9 years,25,0,5/31/25,ESSEX PRE-SCHOOL LTD,PO BOX 173,ESSEX,06426
Child Care Center,DCCC.12594,JULIA DAY NURSERY AND KINDERGARTEN,76 CENTRAL ST,ANSONIA,06401-3213,203-736-2554,sbullard@juliadaynursery.com,3 years-10 years,51,0,3/31/29,THE JULIA DAY NURSERY INC,76 CENTRAL ST,ANSONIA,06401-3213
Child Care Center,DCCC.12599,PLAYLAND NURSERY SCHOOL  REDWOOD,800-802 PONUS RDG,NEW CANAAN,06840-3414,203-966-2937,kathy@campplayland.com,3 years-5 years,20,0,5/31/29,SYWAL CORP,PO BOX 4718,STAMFORD,06907
Child Care Center,DCCC.12600,PLAYLAND NURSERY SCHOOL - WHITE,800-802 PONUS RDG,NEW CANAAN,06840-3414,203-966-2937,kathy@campplayland.com,3 years-5 years,20,0,5/31/29,SYWAL CORP,800 PONUS RIDGE ROAD,NEW CANAAN,06840
Child Care Center,DCCC.12601,PLAYLAND NURSERY SCHOOL - BROWN,800-802 PONUS RDG,NEW CANAAN,06840-3414,203-966-2937,kathy@campplayland.com,2 years-5 years,48,10,5/31/29,SYWAL CORP,800-802 PONUS RIDGE ROAD,NEW CANAAN,06840
Child Care Center,DCCC.12603,SOUTH CONGREGATIONAL CHURCH NURSERY SCHOOL,1301 FORBES ST,EAST HARTFORD,06118-2807,860-569-8053,sccps2019@gmail.com,3 years-5 years,40,0,5/31/25,SOUTH CONGREGATIONAL CHURCH OF EAST HARTFORD,1301 FORBES STREET,EAST HARTFORD,06118
Child Care Center,DCCC.12610,WARBURTON DAY CARE CENTER,420 BROOKFIELD STREET,HARTFORD,06105,860-525-0697,jdavis@mtolivedaycare.com,18 months-3 years,55,40,5/31/25,MOUNT OLIVE CHILD DEVELOPMENT CENTER INC,30 BATTLES STREET,HARTFORD,06095
Child Care Center,DCCC.12613,TABOR CHRISTIAN COMMUNITY PRESCHOOL,45 TABOR DR,BRANFORD,06405-5225,203-483-9420,ddswartz22@gmail.com,3 years-5 years,38,0,3/31/29,TABOR EVANGELICAL LUTHERAN CHURCH,45 TABOR DRIVE,BRANFORD,06405
Child Care Center,DCCC.12620,WEST HAVEN COMMUNITY HOUSE HEAD START I,227 ELM ST,WEST HAVEN,06516-4635,203-934-5221,chrismazzacane@whcommunityhouse.org,3 years-5 years,60,0,4/30/29,WEST HAVEN COMMUNITY HOUSE ACCOCIATION INC,227  ELM STREET,WEST  HAVEN,06516
Child Care Center,DCCC.12624,HIGHLAND LATCH KEY/CHESHIRE YMCA,490 HIGHLAND AVE,CHESHIRE,06410-2518,203-272-3150,lzaborowski@sccymca.org,5 years-12 years,100,0,4/30/29,SOUTHINGTON CHESHIRE COMM YMCA,967 S MAIN ST,CHESHIRE,06410-3418
Child Care Center,DCCC.12625,CHESHIRE YMCA DOOLITTLE SCHOOL,735 CORNWALL AVE,CHESHIRE,06410-2640,203-272-3150,lzaborowski@sccymca.org,5 years-12 years,90,0,4/30/29,SOUTHINGTON CHESHIRE COMM YMCA,967 S MAIN ST,CHESHIRE,06410-3418
Child Care Center,DCCC.12628,WEST HAVEN COMMUNITY HOUSE HEAD START II,227 ELM ST,WEST HAVEN,06516-4635,203-934-5221,chrismazzacane@whcommunityhouse.org,3 years-11 years,80,0,4/30/29,THE WEST HAVEN COMMUNITY HOUSE ASSOCIATION INC,227 ELM STREET,WEST HAVEN,06516
Child Care Center,DCCC.12635,THE CHILDREN'S CENTER,197 BUSHY HILL ROAD,SIMSBURY,06070,860-651-8296,simsburychildrenscenter@gmail.com,2 years-6 years,88,8,2/28/29,THE CHILDREN'S CENTER INC,197 BUSHY HILL ROAD,SIMSBURY,06070
Child Care Center,DCCC.12638,ST PAUL'S NURSERY SCHOOL- WALLINGFORD,65 N MAIN ST,WALLINGFORD,06492-3709,203-269-1712,stpaulsnurseryschoolwlfd@gmail.com,3 years-6 years,25,0,11/30/28,ST PAUL'S NURSERY SCHOOL INC,65 NORTH MAIN STREET,WALLINGFORD,06492
Child Care Center,DCCC.12639,CHILD DAY CARE CTR @ WHEELER REGIONAL FAMILY YMCA,149 FARMINGTON AVE,PLAINVILLE,06062-1732,860-793-9631,shelly.garow-pampreen@ghymca.org,12 months-12 years,111,20,5/31/25,YMCA OF METROPOLITAN HARTFORD INC,50 STATE HOUSE SQ,HARTFORD,06103-3902
Child Care Center,DCCC.12641,CHILD DEVELOPMENT CENTER,1009 MAIN ST,BRANFORD,06405-3729,203-488-2007,stephanie@firstcongregationalbranford.org,6 weeks-10 years,87,40,5/31/29,BOARD OF DIRECTORS- CDC 1ST CONG CH BRNFD,1009 MAIN STREET,BRANFORD,06405
Child Care Center,DCCC.12647,PHYLLIS BODEL CHILDCARE CTR @ YALE SCH MED,367 CEDAR ST,NEW HAVEN,06510-3222,203-785-3829,kyle.miller@yale.edu,6 weeks-9 years,94,72,6/30/25,PHYLLIS BODEL CHILDCARE CTR @ YALE SCH OF MED INC,367 CEDAR STREET,NEW  HAVEN,06510
Child Care Center,DCCC.12668,GIANELLI'S EARLY LEARNING CENTER,67 ROUND HILL RD,MIDDLETOWN,06457-6119,860-346-5765,gianelliselc@gmail.com,12 months-5 years,86,10,4/30/29,DAUGHTERS OF OUR LADY OF THE GARDEN INC,67 ROUND HILL ROAD,MIDDLETOWN,06457
Child Care Center,DCCC.12669,PRE SCHOOL ON THE GREEN,1242  WHITTEMORE ROAD,MIDDLEBURY,06762,203-577-2275,director@preschoolonthegreen.org,3 years-5 years,25,0,5/31/29,MIDDLEBURY CONGREGATIONAL CHURCH,WHITTEMORE ROAD,MIDDLEBURY,06762
Child Care Center,DCCC.12671,FIRST CHURCH EARLY LEARNING CENTER,107 PALISADO AVE,WINDSOR,06095-2514,860-688-4597,katebodmer@fcwucc.org,3 years-6 years,80,0,1/31/29,FIRST CHURCH OF WINDSOR,107 PALISADO AVENUE,WINDSOR,06095
Child Care Center,DCCC.12674,ROUND HILL NURSERY SCHOOL- FIRST STEP,395 ROUND HILL RD,GREENWICH,06831-2617,203-869-4910,Cneiswonger@rhns.org,18 months-3 years,24,24,5/31/25,ROUND HILL NURSERY SCHOOL INC,395 ROUND HILL ROAD,GREENWICH,06831
Child Care Center,DCCC.12676,LITTLE LAMB DAY CARE CENTER- HOUSEHOLD OF FAITH,431 HALLETT ST,BRIDGEPORT,06608-2028,203-332-0911,lorenzopettwat@yahoo.com,3 years-12 years,32,0,6/30/25,HOUSEHOLD OF FAITH,431 HALLETT STREET,BRIDGEPORT,06608
Child Care Center,DCCC.12679,VALLEY SHORE YMCA SCH AGE PROG-GOODWIN SCHOOL,80 OLD BOSTON POST RD,OLD SAYBROOK,06475-2214,860-399-9622,bbruno@vsymca.org,3 years-12 years,64,,10/31/25,VALLEY SHORE YMCA,201 SPENCER PLAINS RD ROUTE 166,WESTBROOK,06498-1549
Child Care Center,DCCC.12685,PLAY SCHOOL PRE-K LEARNING CENTER,3 TRUMBULL PL,NORTH HAVEN,06473-2522,203-239-2799,wcivitello@gmail.com,3 years-5 years,35,0,2/28/29,ST JOHN'S EPISCOPAL CHURCH,3 TRUMBULL PLACE,NORTH HAVEN,06473
Child Care Center,DCCC.12689,OUR SAVIOR PRESCHOOL & CHILD CARE,239 GRAHAM RD,SOUTH WINDSOR,06074-1422,860-644-6458,ospcc_director@oursaviorct.org,6 weeks-12 years,80,32,4/30/29,OUR SAVIOR LUTHERAN CHURCH & OUR SAVIOR PRESCHOOL,239 GRAHAM ROAD,SOUTH WINDSOR,06074
Child Care Center,DCCC.12698,NEW LIFE NURSERY SCHOOL,28 HEDGEHOG ROAD,TRUMBULL,06611,203-261-2728,jasmine@newlifect.com,3 years-12 years,30,0,3/31/29,NEW LIFE ASSEMBLY OF GOD,28 HEDGEHOG ROAD,TRUMBULL,06611
Child Care Center,DCCC.12705,YWCA STEVENS KIDSLINK,322 ORCHARD ST,ROCKY HILL,06067-2021,860-500-6863,robinb@ywcahartford.org,5 years-12 years,68,0,3/31/29,YWCA HARTFORD REGION INC,135 BROAD ST,HARTFORD,06105-3718
Child Care Center,DCCC.12706,STORK CLUB- ROCKY HILL,558 CROMWELL AVENUE,ROCKY HILL,06067,860-563-9096,storkclubs@gmail.com,6 weeks-10 years,156,59,5/31/29,STORK CLUB INC,617 EAST MAIN STREET- PO BOX 2410,MERIDEN,06450
Child Care Center,DCCC.12723,ST JOHN LUTHERAN PRESCHOOL,520 PADDOCK AVE,MERIDEN,06450-6946,203-630-3997,m.mastriano@icloud.com,3 years-5 years,36,0,5/31/29,ST JOHN LUTHERAN CHURCH,520 PADDOCK AVENUE,MERIDEN,06450
Child Care Center,DCCC.12726,MARK OF EXCELLENCE,29 GROVE STREET,STAMFORD,06901,203-353-1503,PCraig@markofexcellencepa.org,3 years-11 years,67,0,6/30/25,FAITH TABERNACLE MISSIONARY BAPTIST CHURCH,29 GROVE STREET,STAMFORD,06901
Child Care Center,DCCC.12728,LEARN & PLAY CHRISTIAN EARLY LEARNING CENTER,811 E MAIN ST,BRANFORD,06405-2917,203-488-4028,learnandplay@snet.net,6 weeks-6 years,58,26,9/30/25,UNITED METHODIST CHURCH OF BRANFORD,811 EAST MAIN STREET,BRANFORD,06405
Child Care Center,DCCC.12730,GREENKNOLL CHILDREN'S CENTER,2 HUCKLEBERRY HILL RD,BROOKFIELD,06804-2219,203-775-4444,sturner@regionalymca.org,5 years-13 years,23,0,7/31/25,REGIONAL YMCA OF WESTERN CT INC. DBA REGIONAL YMCA OF WESTERN CT INC.,2 HUCKEBERRY HILL ROAD,BROOKFIELD,06804
Child Care Center,DCCC.12735,GATEWAY COMMUNITY COLLEGE EARLY LEARNING CENTER,20 CHURCH ST,NEW HAVEN,06510-3304,203-285-2132,carmelita.valenciadaye@ctstate.edu,6 weeks-12 years,63,23,10/31/25,GATEWAY COMMUNITY COLLEGE,20 CHURCH ST,NEW HAVEN,06510-3304
Child Care Center,DCCC.12740,STORK CLUB  CHILD DEVELOPMENT CTRS,586 NEW LONDON TPKE,GLASTONBURY,06033-2311,860-659-3002,storkclubs@gmail.com,6 weeks-9 years,88,40,7/31/25,STORK CLUB INC,617 EAST MAIN STREET- PO BOX 2410,MERIDEN,06450
Child Care Center,DCCC.12743,CHILDREN'S NOOK,925 OLD BUDDINGTON RD,GROTON,06340-3293,860-448-1984,lilac52us@yahoo.com,6 weeks-12 years,49,24,7/31/25,CHILDREN'S NOOK INC,925 OLD BUDDINGTON ROAD,GROTON,06340
Child Care Center,DCCC.12756,EARTHPLACE PRESCHOOL,10 WOODSIDE LN,WESTPORT,06880-2322,203-557-4400,a.ciardi@earthplace.org,6 weeks-12 years,97,24,5/31/25,EARTHPLACE INC,PO BOX 165,WESTPORT,06881
Child Care Center,DCCC.12758,A CHILD'S PLACE,90 HILLSPOINT RD,WESTPORT,06880-5111,203-227-1940,Director@A-childs-place.org,6 weeks-6 years,124,36,6/30/25,SAUGATUCK CHILD CARE SERVICES INC,90 HILLSPOINT ROAD,WESTPORT,06880
Child Care Center,DCCC.12769,PINE GROVE NURSERY SCHOOL,280 COUNTRY CLUB ROAD-WEST AVON CONG CHURCH,AVON,06001,860-675-8191,pgns345@gmail.com,3 years-6 years,55,0,4/30/29,PINE GROVE NURSERY SCHOOL INC.,280 COUNTRY CLUB ROAD,AVON,06001
Child Care Center,DCCC.12780,BROOKER MEMORIAL CHILD CARE & LEARNING CENTER,157 LITCHFIELD ST,TORRINGTON,06790-6427,860-489-5437,clee@brookermemorial.org,6 weeks-9 years,69,24,6/30/25,MARIA SEYMOUR BROOKER MEMORIAL INC,157 LITCHFIELD STREET,TORRINGTON,06790
Child Care Center,DCCC.12788,GRACE LUTHERAN CHURCH NURSERY SCHOOL,150 CHAPEL ST,STRATFORD,06614-1640,203-381-0188,gracechildcare@snet.net,2 years-5 years,56,8,3/31/29,GRACE  EVANGELICAL LUTHERAN CHURCH,150 CHAPEL STREET,STRATFORD,06614
Child Care Center,DCCC.12803,BAKERVILLE COMMUNITY NURSERY SCHOOL,1087 LITCHFIELD TPKE ROUTE 202,NEW HARTFORD,06057-3337,860-496-1852,BCNS1967@gmail.com,3 years-5 years,20,0,10/31/25,BAKERVILLE COMM NRSRY SCH BOARD OF DIRECTORS,1087 LITCHFIELD TURNPIKE,NEW HARTFORD,06063
Child Care Center,DCCC.12807,CHILDREN'S ADVENTURE CENTER,14 RIVERSIDE RD,SANDY HOOK,06482-1219,203-426-3018,dir-cac@att.net,3 years-10 years,134,0,9/30/25,CHILDREN'S ADVENTURE CENTER INC,14 RIVERSIDE ROAD,SANDY HOOK,06482
Child Care Center,DCCC.12809,CHILDREN'S COMMUNITY DEVELOPMENT CENTER,90 HILLSPOINT RD,WESTPORT,06880-5111,203-226-8033,director@myccdc.org,6 weeks-12 years,96,32,10/31/28,CHILDREN'S COMMUNITY DEV CENTER INC- BOARD OF DIR,90 HILLSPOINT ROAD,WESTPORT,06880
Child Care Center,DCCC.12811,CHILDREN'S VILLAGE,545 BOUND LINE RD,WOLCOTT,06716-2009,203-879-5300,talhaht.mannan57@gmail.com,6 weeks-12 years,114,58,6/30/25,CHILDREN'S VILLAGE LLC,545 BOUNDLINE ROAD,WOLCOTT,06716
Child Care Center,DCCC.12816,LITTLE ZION PRE-SCHOOL,235 POND HILL RD,WALLINGFORD,06492-5205,203-269-0401,littlezionpreschool@hotmail.com,3 years-5 years,48,0,2/28/29,ZION LUTHERAN CHURCH,235 POND HILL ROAD,WALLINGFORD,06492
Child Care Center,DCCC.12817,NECCI @ RUTH CHAFFEE,160 SUPERIOR AVE,NEWINGTON,06111-3955,860-665-7053,tizi@mynecci.com,3 years-11 years,100,0,10/31/25,NEWINGTON ELEMENTARY CHILDREN'S CENTER INC,50 PROGRESS CIRCLE-1B,NEWINGTON,06111
Child Care Center,DCCC.12818,NECCI @ JOHN PATERSON,100 CHURCH ST,NEWINGTON,06111-4801,860-665-1567,tizi@mynecci.com,3 years-12 years,100,0,10/31/25,NEWINGTON ELEMENTARY CHILDREN'S CENTER INC,50 PROGRESS CIRCLE-1B,NEWINGTON,06111
Child Care Center,DCCC.12819,NECCI @ ELIZABETH GREEN,30 THOMAS ST,NEWINGTON,06111-2059,860-667-3139,maggie@mynecci.com,5 years-11 years,80,0,10/31/25,NEWINGTON ELEMENTARY CHILDREN'S CENTER INC,50 PROGRESS CIRCLE-1B,NEWINGTON,06111
Child Care Center,DCCC.12826,WEE CARE OF NORTH BRANFORD,1680 FOXON RD,NORTH BRANFORD,06471-1505,203-481-3909,weecarenb@hotmail.com,6 weeks-7 years,38,22,9/30/25,WEE CARE OF NORTH BRANFORD INC,1680 FOXON ROAD,NORTH BRANFORD,06471
Child Care Center,DCCC.12831,WORK AND PLAY SCHOOL,20 PHELPS RD,EAST WINDSOR,06088-9721,860-627-0331,betsyworkandplay@yahoo.com,3 years-10 years,59,0,9/30/25,WORK & PLAY SCHOOL LLC,20 PHELPS ROAD,EAST WINDSOR,06088
Child Care Center,DCCC.12832,JAIME A HULLEY CHILD CARE CENTER,460 LAFAYETTE ST,BRIDGEPORT,06604-5415,203-367-6801,bperry@alliancect.org,6 weeks-5 years,173,24,10/31/25,ALLIANCE FOR COMMUNITY EMPOWERMENT INC.,1070 PARK AVENUE,BRIDGEPORT,06604
Child Care Center,DCCC.12837,CHILDREN'S ACADEMY,890 ETHAN ALLEN HWY,RIDGEFIELD,06877-2843,203-438-0766,thechildrensacademy02@aol.com,6 weeks-12 years,149,62,9/30/25,CHILDREN'S ACADEMY INC,890 ETHAN ALLEN HWY,RIDGEFIELD,06877
Child Care Center,DCCC.12838,KILLINGWORTH NURSERY SCHOOL,273 ROUTE 81,KILLINGWORTH,06419-1218,860-663-2950,killingworthnurseryschool@yahoo.com,3 years-5 years,22,0,4/30/25,KILLINGWORTH NURSERY SCHOOL ASSOC INC,273 ROUTE 81,KILLINGWORTH,06419
Child Care Center,DCCC.12843,ABC CHILD CARE CENTER,2740 BROADBRIDGE AVE,STRATFORD,06614-2926,203-378-8888,abc2740.rick@gmail.com,6 weeks-6 years,89,50,8/31/25,ABC NURSERY SCHOOL INC,2740 BROADBRIDGE AVENUE,STRATFORD,06614
Child Care Center,DCCC.12844,LAKE GARDA FUN CLUB,61 MONCE RD,BURLINGTON,06013-2540,860-675-7830,barbara@bbgc.org,5 years-12 years,80,0,10/31/25,BRISTOL BOYS & GIRLS CLUB  ASSOCIATION,255 WEST ST,BRISTOL,06010-5735
Child Care Center,DCCC.12854,OLD LYME CHILDREN'S LEARNING CENTER,57 LYME ST,OLD LYME,06371-2359,860-303-6641,office.olclc@gmail.com,6 weeks-5 years,38,38,10/31/25,OLD LYME CHILDREN'S LEARNING CENTER INC,57 LYME STREET,OLD LYME,06371
Child Care Center,DCCC.12856,WHEELER REGIONAL  FAMILY  YMCA INFANT TODDLER CTR,123 FARMINGTON AVE,PLAINVILLE,06062-1732,860-793-0576,shelly.garow-pampreen@ghymca.org,6 weeks-2 years,32,32,8/31/25,YMCA OF METROPOLITAN HARTFORD INC,50 STATE HOUSE SQ,HARTFORD,06103-3902
Child Care Center,DCCC.12858,LIGHTHOUSE EXPLORATION & LEARNING CENTER,195 ROUTE 6,COLUMBIA,06237-1119,860-228-2891,lighthousepreschoolct@gmail.com,3 years-7 years,48,0,10/31/25,BAPTIST FELLOWSHIP CHURCH,195 ROUTE 6,COLUMBIA,06237
Child Care Center,DCCC.12861,TOLLAND GREEN LEARNING CENTER,45 TOLLAND GRN,TOLLAND,06084-3019,860-875-2795,tollandgreenlc@comcast.net,3 years-12 years,94,0,7/31/25,UNITED CONGREGATIONAL CHURCH OF TOLLAND,PO BOX 160,TOLLAND,06084
Child Care Center,DCCC.12873,CHRIST CHURCH PRESCHOOL,470 QUAKER FARMS ROAD,OXFORD,06478,203-888-7427,CCPreschoolCT@gmail.com,3 years-5 years,34,0,10/31/28,CHRIST EPISCOPAL CHURCH,470 QUAKER FARMS ROAD,OXFORD,06478
Child Care Center,DCCC.12886,DISCOVERY ZONE LEARNING CENTER- MARLBOROUGH,152 HEBRON RD,MARLBOROUGH,06447-1204,860-295-8003,robin@dzlckids.org,6 weeks-12 years,73,36,11/30/25,LITTLE PEOPLE UNLIMITED INC,152 HEBRON ROAD,MARLBOROUGH,05447
Child Care Center,DCCC.12891,JESSE LEE DAY SCHOOL,207 MAIN ST,RIDGEFIELD,06877-4932,203-438-9204,kcarroll@jesseleedayschool.org,2 years-6 years,116,17,10/31/25,JESSE LEE MEMORIAL UM CHURCH,207 MAIN STREET,RIDGEFIELD,06877
Child Care Center,DCCC.12892,MOUNT HOPE MONTESSORI SCHOOL,48 BASSETTS BRIDGE ROAD,MANSFIELD,06250,860-423-1070,mthopemontessori@snet.net,2 years-6 years,60,8,10/31/25,BD DIRECTORS- MT HOPE MONTESSORI INC,PO BOX 267,MANSFIELD CENTER,06250
Child Care Center,DCCC.12902,PINE ORCHARD NURSERY SCHOOL,149 S MONTOWESE ST,BRANFORD,06405-5232,203-488-3769,erin@pineorchardnurseryschool.org,3 years-5 years,22,0,11/30/25,THE PINE ORCHARD NURSERY SCHOOL INC,PO BOX 697,BRANFORD,06405
Child Care Center,DCCC.12904,PUMPKIN PATCH CHILD CARE & LEARNING CENTER- CROMWELL,11 KIRBY RD,CROMWELL,06416-1003,860-635-1809,Ppatchcromwell@att.net,6 weeks-12 years,83,50,10/31/25,PUMPKIN PATCH INC,11 KIRBY ROAD,CROMWELL,06416
Child Care Center,DCCC.12909,ST PAUL'S DAY SCHOOL,200 RIVERSIDE AVE,RIVERSIDE,06878-2210,203-637-3503,Lisa.adorno@StPaulsriverside.org,12 months-5 years,96,24,11/30/25,ST PAUL'S EPISCOPAL SOCIETY,200 RIVERSIDE AVENUE,RIVERSIDE,06878
Child Care Center,DCCC.12915,TRINITY EPISCOPAL NURSERY SCHOOL,55 RIVER RD,COLLINSVILLE,06019-3017,860-693-4615,leeanndelaneytns@gmail.com,3 years-5 years,21,0,11/30/25,TRINITY EPISCOPAL CHURCH,PO BOX 374,COLLINSVILLE,06022
Child Care Center,DCCC.12917,WEST HARTFORD METHODIST NURSERY SCHOOL,7 BERKSHIRE RD,WEST HARTFORD,06110-1602,860-521-8063,whmns@snet.net,3 years-5 years,30,0,11/30/25,WEST HARTFORD UNITED METHODIST CHURCH,7 BERKSHIRE ROAD,WEST HARTFORD,06110
Child Care Center,DCCC.12926,UNITED METHODIST CHILD CARE CENTER,10 CHAPMAN LN,GALES FERRY,06335-1203,860-464-7482,umccc10@gmail.com,6 weeks-8 years,62,24,10/31/25,UNITED METHODIST CHURCH OF GALES FERRY INC,10 CHAPMAN LANE,GALES FERRY,06335
Child Care Center,DCCC.12928,GRACE LUTHERAN PRESCHOOL,1055 RANDOLPH RD,MIDDLETOWN,06457-5190,860-034-6076,glpdirector1055@gmail.com,2 years-5 years,65,8,11/30/25,GRACE EVANGELICAL LUTHERAN CHURCH,1055 RANDOLPH ROAD,MIDDLETOWN,06457
Child Care Center,DCCC.12941,DAUGHTERS OF CHARITY OF THE MOST PRECIOUS BLOOD,1490 NORTH AVE,BRIDGEPORT,06604-2627,203-334-7000,dcpbpreschool@gmail.com,3 years-5 years,20,0,10/31/25,DAUGHTERS OF CHARITY,1490 NORTH AVENUE,BRIDGEPORT,06604
Child Care Center,DCCC.12946,JCC CHILD CARE PROGRAMS,1035 NEWFIELD AVENUE,STAMFORD,06905,203-322-7900,lgebert@stamfordjcc.org,12 months-11 years,256,100,10/31/25,JEWISH COMMUNITY CENTER INC,1035 NEWFIELD AVENUE,STAMFORD,06905
Child Care Center,DCCC.12958,PROSPECT NURSERY SCHOOL,25 CENTER ST,PROSPECT,06712-1606,203-758-5001,prospectnursery@snet.net,3 years-12 years,24,0,1/31/26,PROSPECT NURSERY SCHOOL INC,25 CENTER STREET,PROSPECT,06712
Child Care Center,DCCC.12959,LITTLE SCHOLARS PRESCHOOL AT THE ROCKY HILL CONGREGATIONAL CHURCH,805 OLD MAIN ST,ROCKY HILL,06067-1553,860-310-5620,littlescholarsct@gmail.com,3 years-5 years,22,0,10/31/25,ROCKY HILL CONGREGATIONAL CHURCH UCC,805 OLD MAIN ST,ROCKY HILL,06067-1553
Child Care Center,DCCC.12961,ST JAMES LUTHERAN PRESCHOOL,111 PETER RD,SOUTHBURY,06488-4607,203-264-6448,stjameslutheranpreschool@gmail.com,3 years-5 years,29,0,11/30/25,ST JAMES LUTHERAN CHURCH,111 PETER ROAD,SOUTHBURY,06488
Child Care Center,DCCC.12964,SMALL WORLD LEARNING & CHILD CARE CENTER,257 SALMON BROOK STREET,GRANBY,06035,860-653-4639,smallworldlearningandchildcare@yahoo.com,3 years-12 years,57,0,11/30/25,SMALL WORLD INC,PO BOX 174,GRANBY,06035
Child Care Center,DCCC.12969,WEST HARTFORD EXTENDED EXPERIENCE- CHARTER OAK SCHOOL,425 OAKWOOD AVE,WEST HARTFORD,06110-1154,860-929-5573,wheeco425@gmail.com,5 years-12 years,59,0,10/31/25,WHEE INC,425 OAKWOOD AVENUE,WEST HARTFORD,06110
Child Care Center,DCCC.12976,EASTERSEALS CHILDREN ACADEMY WEST CAMPUS,22 TOMPKINS ST,WATERBURY,06708-1459,203-757-7012,Apalmer@ESWCT.COM,3 years-5 years,73,0,1/31/26,EASTER SEAL REHAB CENTER OF GREATER WATERBURY  INC,22 TOMPKINS STREET,WATERBURY,06708
Child Care Center,DCCC.12988,COMMUNITY NURSERY SCHOOL OF WILTON,9 HUBBARD RD,WILTON,06897-3039,203-762-3436,cnswdirector@gmail.com,2 years-5 years,28,10,5/31/29,BOARD OF COMMUNITY NURSERY OF WILTON INC,9 HUBBARD ROAD,WILTON,06897
Child Care Center,DCCC.12993,EAST HAMPTON NURSERY SCHOOL,111 MAIN ST,EAST HAMPTON,06424-1105,860-267-2681,mrszimmermanehns@gmail.com,3 years-5 years,21,0,2/28/26,EAST HAMPTON NURSERY SCHOOL INC,PO BOX 135,EAST HAMPTON,06424
Child Care Center,DCCC.12997,FIRST UNITED METHODIST NURSERY SCHOOL,42 CROSS ROAD,STAMFORD,06905,203-327-6644,director@fumns.com,3 years-7 years,85,0,11/30/25,BOARD OF DIRECTORS-FIRST UM CHURCH,42 CROSS ROAD,STAMFORD,06905
Child Care Center,DCCC.13006,HOPMEADOW NURSERY SCHOOL,689 HOPMEADOW STREET,SIMSBURY,06070,860-658-4990,hnslmacneil@gmail.com,3 years-6 years,48,0,1/31/26,HOPMEADOW NURSERY SCHOOL INC,689 HOPMEADOW STREET,SIMSBURY,06070
Child Care Center,DCCC.13010,KINDERCARE LEARNING CENTER #300767,70A WASHINGTON AVE,NORTH HAVEN,06473-1703,203-239-7474,300767@klcorp.com,6 weeks-12 years,80,44,1/31/26,KINDERCARE LEARNING CENTERS LLC,650 NE HOLLADAY ST STE 1400,PORTLAND,97232-2096
Child Care Center,DCCC.13021,MARY IMMACULATE DAY CARE CENTER,1111 WORDIN AVE,BRIDGEPORT,06605-2431,203-334-5681,Maryimmaculatedcc1111@gmail.com,3 years-5 years,64,0,10/31/25,THE MISSIONARY SISTERS OF BLESSED SACRAMENT,1111 WORDIN AVENUE,BRIDGEPORT,06605
Child Care Center,DCCC.13027,OUR CHILDREN'S CENTER,90 N MAIN ST,WEST HARTFORD,06107-1924,860-561-0569,our_childrens_center@yahoo.com,6 weeks-5 years,78,40,12/31/25,OUR CHILDREN'S CENTER INC,90 NORTH MAIN STREET,WEST HARTFORD,06107
Child Care Center,DCCC.13031,PRINCE OF PEACE PRE-SCHOOL,119 JUNCTION RD RTE 133,BROOKFIELD,06804-2417,203-775-0140,popnurseryschool@sbcglobal.net,3 years-5 years,58,0,1/31/26,PRINCE OF PEACE LUTHERAN CHURCH,PO BOX 5184,BROOKFIELD,06804
Child Care Center,DCCC.13032,RED BARN CHILDREN'S CENTER,125 KELSEYTOWN RD,CLINTON,06413-1200,860-669-7246,jguelke@redbarncc.com,6 weeks-10 years,80,24,12/31/25,RED BARN CHILDERN'S CENTER INC,125 KELSEYTOWN ROAD,CLINTON,06413
Child Care Center,DCCC.13033,THE CHILDREN'S MUSEUM PRESCHOOL,180 MOHEGAN DR,WEST HARTFORD,06117-1421,860-523-7449,jbostrom@thechildrensmuseumct.org,3 years-6 years,67,0,1/31/26,THE CHILDREN'S MUSEUM INC,950 TROUT BROOK DRIVE,WEST HARTFORD,06119
Child Care Center,DCCC.13034,GREATER WATERBURY YMCA CHILD DEVELOPMENT CENTER,136 WEST MAIN STREET,WATERBURY,06702,203-754-9622,kjones@waterburyymca.org,6 weeks-12 years,222,24,1/31/26,WATERBURY YMCA ASSOCIATION,136 W MAIN ST,WATERBURY,06702-2005
Child Care Center,DCCC.13036,STRATFORD YMCA EXTENDED DAY PROGRAM,3045 MAIN ST,STRATFORD,06614-4977,203-375-5844,mbernardo@cccymca.org,2 years-12 years,61,10,1/31/26,CENTRAL CONNECTICUT COAST YMCA,1240 CHAPEL STREET,NEW HAVEN,06511
