Program Name,Provider Enrollment Status,Program Phone,Program Email,Region,County,Shipping Street,Shipping City,Shipping State,Shipping Zip,Billing Street,Billing City,Billing State,Billing Zip,Account Record Type,GSQ Approved Step,License Number,License Issue Date,License Expiration Date,Capacity,Age Weeks Low,Age Months Low,Age Years Low,Age Years High,Program Type,
"The Early Learning Center at Temple Israel","","(603) 436-5301","preschool.director@templeisraelnh.org","","","200 State Street","Portsmouth","New Hampshire","03801","","","","","Licensed Group Child Care Program","","","","","24","","","","","",""
"The Gingerbread House of Litchfield","","603-886-1500","meeshe8754@aol.com","","","273 Derry Road","Litchfield","New Hampshire","03052","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"The Goddard School","","(603) 432-2210","dderrynh@goddardschools.com","","","12 Tsienneto Road","Derry","New Hampshire","03038","","","","","Licensed Group Child Care Program","","","","","132","","","","","",""
"The Goddard School","","(603) 594-2800","dnashuanh@goddardschools.com","","","8 Townsend West","Nashua","New Hampshire","03063","","","","","Licensed Group Child Care Program","","","","","134","","","","","",""
"The Granite YMCA - Camp Coney Pine","","(603) 994-4114","mbrikiatis@graniteymca.org","","","63 Lowell St","Rochester","New Hampshire","03867","","","","","License Exempt Facility","","","","","175","","","","","",""
"The Granite YMCA of Somersworth-Idlehurst School","","(603) 692-2081","agriffiths@graniteymca.org","","","46 Stackpole Road","Somersworth","NH","03878","","","","","Licensed Group Child Care Program","","","","","155","","","","","",""
"The Growing Patch Childcare","","(603) 529-1112","thegrowingpatch22@gmail.com","","","1111 South Stark Hwy # 7","Weare","NH","03281","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"The Growing Years","","(603) 622-7072","kitty@thegrowingyearsnh.com","","","130 Harvell Street","Manchester","New Hampshire","03102","","","","","Licensed Group Child Care Program","Step 2","","","","111","","","","","",""
"The Joppa Farm and Forest School","","(603) 316-7584","ellen@letsgrowoutsidenh.com","","","174 Joppa Hill Road","Bedford","NH","03110","","","","","Licensed Group Child Care Program","","","","","14","","","","","",""
"The Kid's Place","","(603) 863-1010","thekidsplace@comcast.net","","","167 Summer Street","Newport","New Hampshire","03773","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"The Lamb's Workshop","","(603) 472-2113","directorlambsworkshop@gmail.com","","","1 Covenant Way","Bedford","New Hampshire","03110","","","","","Licensed Group Child Care Program","","","","","79","","","","","",""
"The Launching Pad by Basic Beginnings Learning and Development Center","","(603) 943-5720","sue@basicbegin.com","","","53 Northeastern Blvd.","Nashua","New Hampshire","03062","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"The Learning Center at Concord Hospital","","(603) 224-0590","bfrost@crhc.org","","","139 Langley Parkway","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","120","","","","","",""
"The Learning Cooperative","","(603) 458-8898","info@salemfamilyresources.org","","","24 School Street","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","63","","","","","",""
"The Learning Path of Salem","","(603) 890-5321","dhajjar@thelearningpathinc.com","","","19 Keewaydin Drive","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","Step 1","","","","120","","","","","",""
"The Learning Tree","","(603) 736-0037","adair@epsomlearningtree.com","","","9 Gauthier Drive","Epsom","New Hampshire","03234","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"The Learning Tree Early Education Center","","(603) 818-8864","thelearningtreenh@gmail.com","","","2 Young Road","Londonderry","New Hampshire","03053","","","","","Licensed Group Child Care Program","","","","","179","","","","","",""
"The Learning Tree Too","","(603) 736-0168","adair@epsomlearningtree.com","","","46 Gauthier Drive","Epsom","NH","03234","","","","","Licensed Group Child Care Program","","","","","120","","","","","",""
"The Learning Vine","","(603) 588-2620","info@grapevinenh.org","","","4 Aiken Street","Antrim","New Hampshire","03440","","","","","Licensed Group Child Care Program","","","","","24","","","","","",""
"The Learning Wagon Family Childcare","","(781) 710-5334","littlesoxs@aol.com","","","632 North Pembroke Road","Pembroke","NH","03275","","","","","Licensed Family Child Care Program","Step 2","","","","9","","","","","",""
"The Montessori Children's School In Hanover","","(603) 643-2828","montessorihanovernh@gmail.com","","","67 Trescott Road","Etna","New Hampshire","03750","","","","","Licensed Group Child Care Program","","","","","49","","","","","",""
"The Nest Family Center","","(603) 404-3512","jamie@thenestfamilycenternh.com","","","25A Orchard View Drive","Londonderry","NH","03053","","","","","Licensed Group Child Care Program","","","","","49","","","","","",""
"The Nest Infant and Toddler Development Center","","(603) 864-0079","checkoutournestnh@gmail.com","","","4 John Tyler Street","Merrimack","New Hampshire","03054","","","","","Licensed Group Child Care Program","","","","","56","","","","","",""
"The Outing Club Village - New London","","(603) 526-8102","kelly@theoutingclub.org","","","114 Cougar Court","New London","NH","03257","","","","","Licensed Group Child Care Program","","","","","80","","","","","",""
"The Outing Club Village - Sunapee","","(603) 526-8102","kelly@theoutingclub.org","","","22 School Street","Sunapee","NH","03782","","","","","Licensed Group Child Care Program","","","","","31","","","","","",""
"The Perfect Place for Children","","(603) 635-9207","theperfectplace.ece@gmail.com","","","125 Main Street, Unit A","Pelham","New Hampshire","03076","","","","","Licensed Group Child Care Program","","","","","54","","","","","",""
"The Preschool In The Village","","(603) 672-3168","pivamherst@gmail.com","","","11 Church Street","Amherst","New Hampshire","03031","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"The Ridge RTC - New Hampshire","","(603) 350-4907","msnee@altiorhealthcare.com","","","619 Governor's Road","Milton","NH","03851","","","","","Residential Child Care Program","","","","","61","","","","","",""
"The Tot Spot","","(603) 224-0404","info@totspotnh.com","","","60 West Street","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","38","","","","","",""
"The Treehouse School of Portsmouth","","(603) 294-0330","jaime@treehouseschoolnh.com","","","100 State Street","Portsmouth","New Hampshire","03801","","","","","Licensed Group Child Care Program","","","","","27","","","","","",""
"The Village Early Learning Center","","(603) 231-1456","thevillagenh@gmail.com","","","5 Industrial Drive  Suite A","Windham","NH","03087","","","","","Licensed Group Child Care Program","","","","","36","","","","","",""
"The Village Early Learning Center of Derry","","(603) 404-1780","derrydirector@thevillagenh.com","","","1 Hood Road","Derry","NH","03038","","","","","Licensed Group Child Care Program","","","","","34","","","","","",""
"The Village Preschool","","(603) 455-1067","plcpncurran@gmail.com","","","52 Main Street","Center Harbor","New Hampshire","03226","","","","","Licensed Group Child Care Program","","","","","14","","","","","",""
"The Wediko School at the Home for Little Wanderers","","603-824-8444","moross@thehome.org","","","11 Bobcat Boulevard","Windsor","New Hampshire","03244","","","","","Residential Child Care Program","","","","","42","","","","","",""
"The Woodside School","","(603) 715-2032","sbeattie@woodsideconcord.org","","","114 & 126 South Fruit Street","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","Step 3","","","","96","","","","","",""
"The World of Discovery","","(603) 627-7577","thewodsquad2@aol.com","","","71 Mooresville Road","Manchester","New Hampshire","03103","","","","","Licensed Group Child Care Program","","","","","85","","","","","",""
"The World of Discovery","","(603) 537-2338","thewodsquad@aol.com","","","182 Rockingham Road","Londonderry","New Hampshire","03053","","","","","Licensed Group Child Care Program","","","","","179","","","","","",""
"Three Krazy Kids","","(603) 228-7529","info@krazykids.com","","","60 Sheep Davis Road","Pembroke","New Hampshire","03275","","","","","Licensed Group Child Care Program","","","","","100","","","","","",""
"Thriving Roots Childcare","","(603) 692-1868","kathy@thrivingrootschildcare.org","","","7 Works Way","Somersworth","NH","03878","","","","","Licensed Group Child Care Program","","","","","76","","","","","",""
"Tic-Tac-Tots Preschool","","(603) 641-8687","kenny-lou-hoo@comcast.net","","","145 Londonderry Turnpike","Hooksett","New Hampshire","03106","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"Tiny Dreamers Academy, LLC","","(603) 417-4909","admin@tinydreamersnh.com","","","940 Suncook Valley Highway","Epsom","NH","03234","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Tiny Tots Preschool","","(603) 483-0200","tinytotsauburnnh@gmail.com","","","4 Wilson's Crossing Road","Auburn","New Hampshire","03032","","","","","Licensed Group Child Care Program","","","","","21","","","","","",""
"Tiny Turtles Child Care","","(603) 864-8061","tinyturtlesnh@aol.com","","","38 Stark Lane","Litchfield","New Hampshire","03052","","","","","Licensed Family Child Care Program","Step 1","","","","17","","","","","",""
"Tiny Twisters Child Care Center","","603-671-1109","tinytwistersdirector@gmail.com","","","12 Rowell Drive","Franklin","New Hampshire","03235","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"Tollhouse Preschool","","(603) 429-0337","tollhousepreschool0337@gmail.com","","","322 Daniel Webster Highway","Merrimack","New Hampshire","03054","","","","","Licensed Group Child Care Program","Step 2","","","","120","","","","","",""
"Traci Pare","","(978) 846-0765","nannylady929@aol.com","","","26A Central Street","Hudson","NH","03051","","","","","License Exempt Family Child Care Program","","","","","3","","","","","",""
"Tree Frog Learning Center","","(603) 923-2218","treefroglearningcenter@gmail.com","","","393 Gonic Road","Rochester","NH","03839","","","","","Licensed Group Child Care Program","","","","","65","","","","","",""
"Trillium Christian Nature  Preschool","","603-903-2367","saraladzinski@trilliumchristian.com","","","460 Gilsum Mine Road","Alstead","NH","03602","","","","","Licensed Group Child Care Program","","","","","10","","","","","",""
"Trinity Early Learning Center","","(603) 622-6336","telc@tlcnh.org","","","12 Station Road","Bedford","NH","03110","","","","","Licensed Group Child Care Program","","","","","76","","","","","",""
"Trisha's Daycare","","(603) 845-9635","trishasdaycare98@yahoo.com","","","31 Royal Lane","Londonderry","New Hampshire","03053","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Tuck-A-Way Farm Day Care","","603-667-1597","tuckaway224@gmail.com","","","224 Burpee Hill Road","Grantham","New Hampshire","03753","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Tumble Bees Learning Center","","(603) 935-9816","gsg@granitestategymnastics.com","","","1316 Hooksett Road","Hooksett","New Hampshire","03106","","","","","Licensed Group Child Care Program","","","","","14","","","","","",""
"Tumbleweeds Child Care","","603-654-5390","alyssa@tumbleweedschildcare.com","","","31 Prince Street","Wilton","New Hampshire","03086","","","","","Licensed Group Child Care Program","","","","","65","","","","","",""
"Tween School 'N Home Child Care Program","","(603) 746-3622","heather@tweenschool.com","","","271 Main Street","Hopkinton","New Hampshire","03229","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"Twin River Children's Center","","(603) 298-7405","twinrivercc@gmail.com","","","76 Seminary Hill","West Lebanon","New Hampshire","03784","","","","","Licensed Group Child Care Program","","","","","48","","","","","",""
"UNH Child Study & Development Center","","(603) 862-2835","csdc.info@unh.edu","","","22 O'Kane Road","Durham","New Hampshire","03824","","","","","Licensed Group Child Care Program","Step 3","","","","100","","","","","",""
"Unity House","","(603)338-0476","mmccall@thehome.org","","","39 Summer Street","Keene","NH","03431","","","","","Residential Child Care Program","","","","","8","","","","","",""
"Upstone Montessori School","","(603) 821-5626","austin@upstoneschool.org","","","500 West Hollis Street","Nashua","NH","03062","","","","","Licensed Group Child Care Program","","","","","26","","","","","",""
"Village Children's Center of Chesterfield","","(603) 363-4226","conroypratt@gmail.com","","","43 Church Street","Spofford","New Hampshire","03462","","","","","Licensed Group Child Care Program","","","","","20","","","","","",""
"Village Nursery School","","(603) 524-7444","gilfordvns@gmail.com","","","19 Potter Hill Road","Gilford","New Hampshire","03249","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Walpole Village School","","(603) 756-4246","director@walpolevillageschool.org","","","75 Westminster Street","Walpole","New Hampshire","03608","","","","","Licensed Group Child Care Program","Step 3","","","","40","","","","","",""
"Ware To Grow","","(603) 921-1146","waretogrow1@gmail.com","","","8 Dixville Street","Nashua","New Hampshire","03063","","","","","Licensed Group Child Care Program","","","","","10","","","","","",""
"Watch Me Grow","","(603) 236-2704","aldemers37@gmail.com","","","164 Blair Road","Campton","New Hampshire","03223","","","","","Licensed Family Child Care Program","","","","","8","","","","","",""
"Way To Grow Preschool","","(603) 664-2032","roxanne@waytogrow.biz","","","1324 Franklin Pierce Highway","Barrington","New Hampshire","03825","","","","","Licensed Group Child Care Program","Step 1","","","","12","","","","","",""
"Weare Village Kidz Academy","","(603) 529-0006","villagekidzacademy@gmail.com","","","92 Woodbury Road","Weare","New Hampshire","03281","","","","","Licensed Group Child Care Program","","","","","67","","","","","",""
"Webster House","","(603) 622-8013","programdirector@websterhousenh.org","","","135 Webster Street","Manchester","New Hampshire","03104","","","","","Residential Child Care Program","","","","","20","","","","","",""
"Wee Care Learning Center","","(603) 824-9691","weecarewindham@gmail.com","","","21 Roulston Road","Windham","New Hampshire","03087","","","","","Licensed Group Child Care Program","","","","","72","","","","","",""
"Weeping Willow Day Care Center","","(603) 524-6316","vewens13@gmail.com","","","34 Silver Lake Road","Tilton","New Hampshire","03276","","","","","Licensed Group Child Care Program","","","","","25","","","","","",""
"Wendy A Murphy","","(603) 998-4225","ajsmom86@gmail.com","","","41 Lancaster Hill Rd","Tilton","New Hampshire","03276","","","","","License Exempt Family Child Care Program","","","","","3","","","","","",""
"Wentworth Douglass Hospital Early Learning @ The Works","","(603) 740-2675","dlhahn@mgb.org","","","23 Works Way","Somersworth","New Hampshire","03878","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"Wentworth-Douglass Hospital Early Learning Center","","(603) 740-2630","deborah.hahn@wdhospital.org","","","789 1/2 Central Avenue","Dover","New Hampshire","03820","","","","","Licensed Group Child Care Program","","","","","70","","","","","",""
"Whirlybirds Early Care and Education","","603-722-7271","whirlybirdsece@gmail.com","","","154 Nutting Road","Jaffrey","New Hampshire","03452","","","","","Licensed Family Child Care Program","","","","","6","","","","","",""
"White Birch @ Henniker Community School","","(603) 428-7860","allisons@whitebirchcc.org","","","51 Western Avenue","Henniker","New Hampshire","03242","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"White Birch Community Center","","603-428-7860","allisons@whitebirchcc.org","","","51 Hall Avenue","Henniker","New Hampshire","03242","","","","","Licensed Group Child Care Program","Step 1","","","","100","","","","","",""
"White Mountain Montessori School","","(603) 536-2555","kelly@whitemountainmontessori.com","","","133 Mt. Prospect Road","Holderness","New Hampshire","03245","","","","","Licensed Group Child Care Program","","","","","28","","","","","",""
"Whitehouse Early Learning Center","","(603) 664-5025","whitehouseelc@gmail.com","","","352 Province Road","Strafford","New Hampshire","03884","","","","","Licensed Group Child Care Program","","","","","34","","","","","",""
"Whole Child Center","","(603) 286-7077","wholechildcenterllc@gmail.com","","","523 West Main Street","Tilton","New Hampshire","03276","","","","","Licensed Group Child Care Program","Step 1","","","","106","","","","","",""
"Wiggly Toes Childcare","","603-477-3957","tbagr-girard@comcast.net","","","19 Nelmar Heights","Claremont","NH","03743","","","","","Licensed Family Child Care Program","","","","","12","","","","","",""
"Wild Roots","","(603) 964-9453","wildroots223nh@gmail.com","","","223 Lafayette Road","North Hampton","NH","03862","","","","","Licensed Group Child Care Program","","","","","40","","","","","",""
"Wild Roots Early Learning Center LLC","","(603) 707-2244","wildroots603@gmail.com","","","31 Lang Street","Meredith","NH","03253","","","","","Licensed Group Child Care Program","","","","","18","","","","","",""
"Wild Roots Learning Center","","603-304-9211","explore.wildrootslearning@gmail.com","","","47 Smith Hastings Road","Grantham","NH","03753","","","","","Licensed Group Child Care Program","","","","","14","","","","","",""
"Wild Wonders Play School","","(603) 566-9274","10hough@gmail.com","","","16 New Boston Road","Kingston","NH","03848","","","","","Licensed Family Child Care Program","","","","","13","","","","","",""
"Wild Wood Day Care","","(603) 931-8104","wild.wood.daycare.nh@gmail.com","","","37 Main Street","Milton Mills","New Hampshire","03852","","","","","Licensed Family Child Care Program","Step 2","","","","9","","","","","",""
"Wildwoods","","(603) 986-8191","wildwoodsnh@gmail.com","","","50 Mountain Rd","Tuftonboro","NH","03816","","","","","Licensed Family Child Care Program","","","","","8","","","","","",""
"Wilmot Learning Place","","(603) 526-4569","registrar@wilmotlearningplace.org","","","64 Village Road","Wilmot","New Hampshire","03287","","","","","Licensed Group Child Care Program","","","","","24","","","","","",""
"Windham After School Academy","","(603) 921-7333","windhamafterschool@gmail.com","","","64 North Lowell Road","Windham","New Hampshire","03087","","","","","Licensed Family Child Care Program","","","","","8","","","","","",""
"Windham Cooperative Kindergarten And Nursery School","","(603) 893-3069","etaylor@windhamcoop.org","","","12 Industrial Drive","Windham","New Hampshire","03087","","","","","Licensed Group Child Care Program","","","","","90","","","","","",""
"Windham Crossing Learning Center","","(603) 421-9390","windhamclc@yahoo.com","","","125 North Lowell Road","Windham","New Hampshire","03087","","","","","Licensed Group Child Care Program","","","","","64","","","","","",""
"Windham Learning Tree Academy","","(603) 965-3484","info@windhamlearningtreeacademy.com","","","4 Cobbetts Pond Road, Suites 9-12","Windham","New Hampshire","03087","","","","","Licensed Group Child Care Program","","","","","110","","","","","",""
"Windy Hill School","","(603) 526-3695","jen.ensign@colby-sawyer.edu","","","541 Main Street","New London","New Hampshire","03257","","","","","Licensed Group Child Care Program","Step 1","","","","60","","","","","",""
"Wise Owl Academy","","(603) 883-3016","info@wiseowl.academy","","","4 Merrit Parkway","Nashua","New Hampshire","03062","","","","","Licensed Group Child Care Program","","","","","100","","","","","",""
"With One Heart Early Learning Center","","(603) 717-0291","dawnathornhill@gmail.com","","","213 North Main Street","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","34","","","","","",""
"Wolfeboro Area Children's Center","","(603) 569-1027","info@thechildrenscenternh.org","","","180 South Main Street","Wolfeboro","New Hampshire","03894","","","","","Licensed Group Child Care Program","Step 3","","","","200","","","","","",""
"Wolfeboro Cooperative Nursery School","","(603) 515-1075","wolfeboronurseryschool@gmail.com","","","258 South Main Street","Wolfeboro","New Hampshire","03894","","","","","Licensed Group Child Care Program","","","","","14","","","","","",""
"Wonder Years Learning Center","","(603) 432-0505","wylcderry@wonderyearslc.com","","","39 Birch Street","Derry","NH","03038","","","","","Licensed Group Child Care Program","","","","","116","","","","","",""
"Wonder Years Learning Center - Salem","","(603) 890-0155","wylcsalem@wonderyearslc.com","","","393 Main Street","Salem","New Hampshire","03079","","","","","Licensed Group Child Care Program","","","","","105","","","","","",""
"Woodside at St. Paul's School","","(603) 715-8246","jlaflamme@woodsideconcord.org","","","55 Sawmill Road","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","Step 3","","","","75","","","","","",""
"World Academy","","(603) 888-1982","knelson@worldacademynh.com","","","138 Spit Brook Road","Nashua","New Hampshire","03062","","","","","Licensed Group Child Care Program","","","","","195","","","","","",""
"YMCA @ Pollard School","","(978) 766-2346","trickettj@northshoreymca.org","","","120 Main Street","Plaistow","New Hampshire","03865","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"YMCA Allard Center Child Development Center","","(603) 232-8638","kcarlson@graniteymca.org","","","116 Goffstown Back Road","Goffstown","New Hampshire","03045","","","","","Licensed Group Child Care Program","","","","","120","","","","","",""
"YMCA Allard Center School's Out Program @ Bartlett","","(603) 232-8638","mmartin@graniteymca.org","","","689 Mast Road","Goffstown","New Hampshire","03045","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"YMCA Allard Center School's Out Program @ Maple Ave","","(603) 232-8638","mmartin@graniteymca.org","","","16 Maple Avenue","Goffstown","New Hampshire","03045","","","","","Licensed Group Child Care Program","","","","","60","","","","","",""
"YMCA at Seacoast Classical Academy","","(603) 382-0641","trickettj@northshoreymca.org","","","53 Carlton E Sockwell Way","Newton","NH","03858","","","","","Licensed Group Child Care Program","","","","","29","","","","","",""
"YMCA Downtown Manchester - Cardinal LaCroix Academy After School Program","","603-232-8638","nwebster@graniteymca.org","","","148 Belmont Street","Manchester","NH","03103","","","","","Licensed Group Child Care Program","","","","","75","","","","","",""
"YMCA of Concord Child Development Center","","(603) 228-9622","klacasse@graniteymca.org","","","44 Warren Street","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","232","","","","","",""
"YMCA of Concord Kydstop at Abbot Downing School","","(603) 848-8873","mmartin@graniteymca.org","","","152 South Street","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","135","","","","","",""
"YMCA of Concord Kydstop at Beaver Meadow School","","(603) 848-8873","mmartin@graniteymca.org","","","40 Sewalls Fall Road","Concord","New Hampshire","03301","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"YMCA of Concord Kydstop at Boscawen","","(603) 892-8567","anewton@graniteymca.org","","","1 Best Avenue","Boscawen","New Hampshire","03303","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"YMCA of Concord Kydstop at Loudon","","(603) 848-8873","sharrington@graniteymca.org","","","7039 School St","Loudon","New Hampshire","03307","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"YMCA of Downtown Manchester Child Development Center","","(603) 623-3558","klewin@graniteymca.org","","","30 Mechanic St","Manchester","New Hampshire","03101","","","","","Licensed Group Child Care Program","","","","","378","","","","","",""
"YMCA of Downtown Manchester School's Out Program @ Green Acres","","603-315-3788","nwebster@graniteymca.org","","","100 Aurore Street","Manchester","New Hampshire","03109","","","","","Licensed Group Child Care Program","","","","","90","","","","","",""
"YMCA of Downtown Manchester School's Out Program @ Webster School","","(603) 232-8694","nwebster@graniteymca.org","","","2519 Elm Street","Manchester","New Hampshire","03104","","","","","Licensed Group Child Care Program","","","","","72","","","","","",""
"YMCA of Downtown Manchester School's Out Program @ Weston","","(603) 232-8694","nwebster@graniteymca.org","","","1066 Hanover Street","Manchester","New Hampshire","03104","","","","","Licensed Group Child Care Program","","","","","72","","","","","",""
"YMCA of Greater Londonderry Child Development Center","","(603) 848-8873","sharrington@graniteymca.org","","","206 Rockingham Road","Londonderry","New Hampshire","03053","","","","","Licensed Group Child Care Program","","","","","140","","","","","",""
"YMCA of Greater Londonderry Golden Brook School","","(603) 437-9622","nwebster@graniteymca.org","","","112B Lowell Road","Windham","New Hampshire","03087","","","","","Licensed Group Child Care Program","","","","","160","","","","","",""
"YMCA of Greater Londonderry School's Out Program @ Matthew Thornton","","(603) 437-9622","nwebster@graniteymca.org","","","275 Mammoth Road","Londonderry","New Hampshire","03053","","","","","Licensed Group Child Care Program","","","","","100","","","","","",""
"YMCA of Greater Londonderry School's Out Program @ North School","","(603) 437-9622","nwebster@graniteymca.org","","","19 Sanborn Road","Londonderry","New Hampshire","03053","","","","","Licensed Group Child Care Program","","","","","74","","","","","",""
"YMCA of Greater Londonderry School's Out Program @ South School","","(603) 437-9622","nwebster@graniteymca.org","","","88 South Road","Londonderry","New Hampshire","03053","","","","","Licensed Group Child Care Program","","","","","100","","","","","",""
"YMCA of Greater Nashua Schools Out Program","","(603) 882-2011","amillard@nmymca.org","","","24 Stadium Drive","Nashua","New Hampshire","03064","","","","","Licensed Group Child Care Program","","","","","89","","","","","",""
"YMCA of Strafford County School's Out Program at Garrison School","","(603) 848-8873","agriffiths@graniteymca.org","","","50 Garrison Road","Dover","New Hampshire","03820","","","","","Licensed Group Child Care Program","","","","","81","","","","","",""
"YMCA of Strafford County School's Out Program at Horne Street School","","(603) 848-8873","agriffiths@graniteymca.org","","","78 Horne Street","Dover","New Hampshire","03820","","","","","Licensed Group Child Care Program","","","","","62","","","","","",""
"YMCA of the Seacoast - Greenland","","(603) 848-8873","agriffiths@graniteymca.org","","","176 Tuttle Lane","Greenland","New Hampshire","03840","","","","","Licensed Group Child Care Program","","","","","80","","","","","",""
"YMCA School's Out - Brentwood","","(603) 319-5942","anthony@sdymca.org","","","355 Middle Road","Brentwood","New Hampshire","03833","","","","","Licensed Group Child Care Program","","","","","45","","","","","",""
"YMCA School's Out - Hampstead","","(603) 319-5942","nicolef@sdymca.org","","","21 Emerson Avenue","Hampstead","New Hampshire","03841","","","","","Licensed Group Child Care Program","","","","","50","","","","","",""
"YMCA School's Out Program @ Jewett","","(603) 232-8694","nwebster@graniteymca.org","","","130 Jewett Street","Manchester","New Hampshire","03103","","","","","Licensed Group Child Care Program","","","","","149","","","","","",""
"YMCA Windham Center School After School Program","","603-232-8643","jbrien@graniteymca.org","","","2 Lowell Road","Windham","NH","03087","","","","","Licensed Group Child Care Program","","","","","30","","","","","",""
